AFRICAN CROWNED CRANE,灰冕鹤
BOBOLINK,刺歌雀
BORNEAN BRISTLEHEAD,婆罗洲棘头鹛
BORNEAN LEAFBIRD,婆罗洲叶鹎
BORNEAN PHEASANT,婆罗洲孔雀雉
BRANDT CORMARANT,红脸鸬鹚
BROWN CREPPER,棕旋木雀
BROWN NOODY,褐鲣鸟
BROWN THRASHER,褐鸫
BULWERS PHEASANT,布尔氏雉
CACTUS WREN,仙人掌鹪鹩
CALIFORNIA CONDOR,加州神鹫
CALIFORNIA GULL,加州鸥
CALIFORNIA QUAIL,珠颈斑鹑
CANARY,金丝雀
CAPE GLOSSY STARLING,非洲辉椋鸟
CAPE MAY WARBLER,栗颊林莺
CAPPED HERON,冠鹭
CAPUCHINBIRD,冠伞鸟
CARMINE BEE-EATER,红蜂虎
CASPIAN TERN,红嘴巨鸥
CASSOWARY,鹤鸵
CEDAR WAXWING,雪松太平鸟
CERULEAN WARBLER,天蓝林莺
CHARA DE COLLAR,领环
CHESTNET BELLIED EUPHONIA,栗腹歌雀
CHIPPING SPARROW,棕顶雀鹀
CHUKAR PARTRIDGE,石鸡
CINNAMON TEAL,桂红鸭
CLARKS NUTCRACKER,星鸦
COCK OF THE  ROCK,安第斯冠伞鸟
COCKATOO,凤头鹦鹉
COLLARED ARACARI,领簇舌巨嘴鸟
COMMON FIRECREST,火冠戴菊
COMMON GRACKLE,普通拟八哥
COMMON HOUSE MARTIN,家燕
COMMON LOON,普通潜鸟
COMMON POORWILL,夜鹰
COMMON STARLING,紫翅椋鸟
COUCHS KINGBIRD,库氏王霸鹟
CRESTED AUKLET,冠小海雀
CRESTED CARACARA,凤头卡拉卡拉鹰
CRESTED NUTHATCH,冠鳾
CRIMSON SUNBIRD,黄腰太阳鸟
CROW,乌鸦
CROWNED PIGEON,凤冠鸠
CUBAN TODY,古巴短尾鴗
CUBAN TROGON,古巴咬鹃
CURL CRESTED ARACURI,卷冠簇舌巨嘴鸟
D-ARNAUDS BARBET,达氏拟啄木鸟
DARK EYED JUNCO,暗眼灯草鹀
DOUBLE BARRED FINCH,双斑草雀
DOUBLE BRESTED CORMARANT,双冠鸬鹚
DOWNY WOODPECKER,绒啄木鸟
EASTERN BLUEBIRD,东蓝鸲
EASTERN MEADOWLARK,东草地鹨
EASTERN ROSELLA,东玫瑰鹦鹉
EASTERN TOWEE,东唧鹀
ELEGANT TROGON,丽咬鹃
ELLIOTS  PHEASANT,白颈长尾雉
EMPEROR PENGUIN,帝企鹅
EMU,鸸鹋
ENGGANO MYNA,恩加诺八哥
EURASIAN GOLDEN ORIOLE,金黄鹂
EURASIAN MAGPIE,欧亚喜鹊
EVENING GROSBEAK,黄昏雀
FAIRY BLUEBIRD,仙蓝鸲
FIRE TAILLED MYZORNIS,火尾绿鹛
FLAME TANAGER,丽色唐纳雀
FLAMINGO,火烈鸟
FRIGATE,军舰鸟
GAMBELS QUAIL,黑腹斑鹑
GANG GANG COCKATOO,红冠灰凤头鹦鹉
GILA WOODPECKER,吉拉啄木鸟
GILDED FLICKER,黄扑翅鴷
GLOSSY IBIS,彩鹮
GO AWAY BIRD,灰蕉鹃
GOLD WING WARBLER,金翅林莺
GOLDEN CHEEKED WARBLER,金颊林莺
GOLDEN CHLOROPHONIA,金腰歌雀
GOLDEN EAGLE,金雕
GOLDEN PHEASANT,红腹锦鸡
GOLDEN PIPIT,金鹨
GOULDIAN FINCH,胡锦鸟
GRAY CATBIRD,灰嘲鸫
GRAY KINGBIRD,灰王霸鹟
GRAY PARTRIDGE,灰山鹑
GREAT GRAY OWL,乌林鸮
GREAT KISKADEE,大食蝇霸鹟
GREAT POTOO,大林鸱
GREATOR SAGE GROUSE,艾草松鸡
GREEN BROADBILL,绿阔嘴鸟
GREEN JAY,绿鸦
GREEN MAGPIE,绿鹊
GREY PLOVER,灰鸻
GROVED BILLED ANI,沟嘴犀鹃
GUINEA TURACO,蕉鹃
GUINEAFOWL,珠鸡
GYRFALCON,矛隼
HARLEQUIN DUCK,丑鸭
HARPY EAGLE,角雕
HAWAIIAN GOOSE,夏威夷雁
HELMET VANGA,盔鵙
HIMALAYAN MONAL,棕尾虹雉
HOATZIN,麝雉
HOODED MERGANSER,棕胁秋沙鸭
HOOPOES,戴胜
HORNBILL,犀鸟
HORNED GUAN,角冠雉
HORNED LARK,角百灵
HORNED SUNGEM,角蜂鸟
HOUSE FINCH,家朱雀
HOUSE SPARROW,家麻雀
HYACINTH MACAW,紫蓝金刚鹦鹉
IMPERIAL SHAQ,皇鸬鹚
INCA TERN,印加燕鸥
INDIAN BUSTARD,大鸨
INDIAN PITTA,印度八色鸫
INDIAN ROLLER,棕胸佛法僧
INDIGO BUNTING,靛蓝彩鹀
IWI,镰嘴管舌鸟
JABIRU,裸颈鹳
JAVA SPARROW,爪哇禾雀
KAGU,鹭鹤
KAKAPO,鸮鹦鹉
KILLDEAR,双领鸻
KING VULTURE,王鹫
KIWI,几维鸟
KOOKABURRA,笑翠鸟
LARK BUNTING,百灵鹀
LAZULI BUNTING,琉璃彩鹀
LILAC ROLLER,紫胸佛法僧
LONG-EARED OWL,长耳鸮
MAGPIE GOOSE,鹊雁
MALABAR HORNBILL,马拉巴犀鸟
MALACHITE KINGFISHER,冠翠鸟
MALAGASY WHITE EYE,马岛绣眼鸟
MALEO,塚雉
MALLARD DUCK,绿头鸭
MANDRIN DUCK,鸳鸯
MANGROVE CUCKOO,红树杜鹃
MARABOU STORK,非洲秃鹳
MASKED BOOBY,蓝脸鲣鸟
MASKED LAPWING,白颈麦鸡
MIKADO  PHEASANT,黑长尾雉
MOURNING DOVE,哀鸽
MYNA,八哥
NICOBAR PIGEON,尼柯巴鸠
NOISY FRIARBIRD,噪吮蜜鸟
NORTHERN CARDINAL,主红雀
NORTHERN FLICKER,北扑翅鴷
NORTHERN FULMAR,暴雪鹱
NORTHERN GANNET,北鲣鸟
NORTHERN GOSHAWK,苍鹰
NORTHERN JACANA,美洲水雉
NORTHERN MOCKINGBIRD,北方嘲鸫
NORTHERN PARULA,北森莺
NORTHERN RED BISHOP,红寡妇雀
NORTHERN SHOVELER,琵嘴鸭
OCELLATED TURKEY,眼斑吐绶鸡
OKINAWA RAIL,冲绳秧鸡
ORANGE BRESTED BUNTING,橙胸彩鹀
ORIENTAL BAY OWL,栗鸮
OSPREY,鹗
OSTRICH,鸵鸟
OVENBIRD,灶鸟
OYSTER CATCHER,蛎鹬
PAINTED BUNTIG,丽色彩鹀
PALILA,帕里拉雀
PARADISE TANAGER,仙唐纳雀
PARAKETT  AKULET,鹦嘴雀
PARUS MAJOR,大山雀
PATAGONIAN SIERRA FINCH,巴塔哥尼亚岭雀
PEACOCK,孔雀
PELICAN,鹈鹕
PEREGRINE FALCON,游隼
PHILIPPINE EAGLE,菲律宾鹰雕
PINK ROBIN,粉红鸲鹟
POMARINE JAEGER,中贼鸥
PUFFIN,海鹦
PURPLE FINCH,紫朱雀
PURPLE GALLINULE,紫水鸡
PURPLE MARTIN,紫崖燕
PURPLE SWAMPHEN,紫水鸡
PYGMY KINGFISHER,侏翠鸟
QUETZAL,凤尾绿咬鹃
RAINBOW LORIKEET,虹彩吸蜜鹦鹉
RAZORBILL,刀嘴海雀
RED BEARDED BEE EATER,红须蜂虎
RED BELLIED PITTA,红腹八色鸫
RED BROWED FINCH,红眉火尾雀
RED FACED CORMORANT,红脸鸬鹚
RED FACED WARBLER,红脸林莺
RED FODY,红织雀
RED HEADED DUCK,红头鸭
RED HEADED WOODPECKER,红头啄木鸟
RED HONEY CREEPER,红蜜旋木雀
RED NAPED TROGON,红颈咬鹃
RED TAILED HAWK,红尾鵟
RED TAILED THRUSH,红尾鸫
RED WINGED BLACKBIRD,红翅黑鹂
RED WISKERED BULBUL,红耳鹎
REGENT BOWERBIRD,丽园丁鸟
RING-NECKED PHEASANT,环颈雉
ROADRUNNER,走鹃
ROBIN,知更鸟
ROCK DOVE,岩鸽
ROSY FACED LOVEBIRD,桃脸牡丹鹦鹉
ROUGH LEG BUZZARD,毛脚鵟
ROYAL FLYCATCHER,皇霸鹟
RUBY THROATED HUMMINGBIRD,红喉北蜂鸟
RUDY KINGFISHER,红翠鸟
RUFOUS KINGFISHER,棕背翠鸟
RUFUOS MOTMOT,棕翠鴗
SAMATRAN THRUSH,苏门答腊鸫
SAND MARTIN,崖沙燕
SANDHILL CRANE,沙丘鹤
SATYR TRAGOPAN,棕尾虹雉
SCARLET CROWNED FRUIT DOVE,红顶果鸠
SCARLET IBIS,美洲红鹮
SCARLET MACAW,绯红金刚鹦鹉
SCARLET TANAGER,猩红丽唐纳雀
SHOEBILL,鲸头鹳
SHORT BILLED DOWITCHER,短嘴半蹼鹬
SMITHS LONGSPUR,史密斯氏长爪鹀
SNOWY EGRET,雪鹭
SNOWY OWL,雪鸮
SORA,黑脸田鸡
SPANGLED COTINGA,斑伞鸟
SPLENDID WREN,壮丽细尾鹩莺
SPOON BILED SANDPIPER,勺嘴鹬
SPOONBILL,琵鹭
SPOTTED CATBIRD,斑园丁鸟
SRI LANKA BLUE MAGPIE,斯里兰卡蓝鹊
STEAMER DUCK,船鸭
STORK BILLED KINGFISHER,鹳嘴翠鸟
STRAWBERRY FINCH,斑文鸟
STRIPED OWL,斑鸮
STRIPPED MANAKIN,纹娇鹟
STRIPPED SWALLOW,纹燕
SUPERB STARLING,华丽椋鸟
SWINHOES PHEASANT,蓝腹鹇
TAIWAN MAGPIE,台湾蓝鹊
TAKAHE,南秧鸡
TASMANIAN HEN,塔斯马尼亚鸡
TEAL DUCK,鸭
TIT MOUSE,山雀
TOUCHAN,巨嘴鸟
TOWNSENDS WARBLER,黄眉林莺
TREE SWALLOW,双色树燕
TROPICAL KINGBIRD,热带王霸鹟
TRUMPTER SWAN,黑嘴天鹅
TURKEY VULTURE,红头美洲鹫
TURQUOISE MOTMOT,翠鴗
UMBRELLA BIRD,伞鸟
VARIED THRUSH,杂色鸫
VENEZUELIAN TROUPIAL,委内瑞拉拟黄鹂
VERMILION FLYCATHER,朱红霸鹟
VICTORIA CROWNED PIGEON,维多利亚凤冠鸠
VIOLET GREEN SWALLOW,紫绿树燕
VULTURINE GUINEAFOWL,鹫珠鸡
WALL CREAPER,旋壁雀
WATTLED CURASSOW,肉垂凤冠雉
WHIMBREL,中杓鹬
WHITE BROWED CRAKE,白眉田鸡
WHITE CHEEKED TURACO,白颊蕉鹃
WHITE NECKED RAVEN,白颈渡鸦
WHITE TAILED TROPIC,白尾热带鸟
WHITE THROATED BEE EATER,白喉蜂虎
WILD TURKEY,野火鸡
WILSONS BIRD OF PARADISE,威氏极乐鸟
WOOD DUCK,林鸳鸯
YELLOW BELLIED FLOWERPECKER,黄腹啄花鸟
YELLOW CACIQUE,黄拟椋鸟
YELLOW HEADED BLACKBIRD,黄头黑鹂
